,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2006-07-13,427.5,432.5,425.0,427.5,321.6360778808594,88510000,BBCA.JK,312.94052,310.3505859375,0.0,11.285491943359375
2006-07-20,397.5,402.5,395.0,397.5,299.0650634765625,322950000,BBCA.JK,297.9923,302.82684326171875,0.0,-3.76177978515625
2006-07-24,395.0,400.0,395.0,395.0,297.1841735839844,143610000,BBCA.JK,292.0364,297.1841735839844,0.0,0.0
2006-07-25,395.0,402.5,395.0,395.0,297.1841735839844,99630000,BBCA.JK,296.20764,293.42230224609375,0.0,3.761871337890625
2006-07-26,395.0,397.5,390.0,390.0,293.42230224609375,154460000,BBCA.JK,289.8054,304.7077941894531,0.0,-11.285491943359375
2006-08-01,427.5,427.5,415.0,427.5,321.6360778808594,262800000,BBCA.JK,305.73264,325.3978576660156,0.0,-3.76177978515625
2006-08-09,420.0,422.5,412.5,420.0,315.9933776855469,109080000,BBCA.JK,306.7341,308.4697265625,0.0,7.523651123046875
2006-08-17,430.0,430.0,430.0,430.0,323.51708984375,0,BBCA.JK,314.2622,323.51708984375,0.0,0.0
2006-08-22,437.5,440.0,430.0,437.5,329.1597595214844,317840000,BBCA.JK,316.62225,327.2787170410156,0.0,1.88104248046875
2006-08-25,442.5,450.0,440.0,442.5,332.9215087890625,479570000,BBCA.JK,324.19763,336.6833801269531,0.0,-3.761871337890625
2006-08-30,450.0,452.5,445.0,450.0,338.564208984375,213880000,BBCA.JK,327.134,342.3260498046875,0.0,-3.7618408203125
2006-09-08,447.5,450.0,445.0,447.5,336.6833801269531,58600000,BBCA.JK,331.6074,336.6833801269531,0.0,0.0
2006-09-22,485.0,485.0,465.0,485.0,364.89703369140625,641900000,BBCA.JK,352.10373,370.539794921875,0.0,-5.64276123046875
2006-09-25,492.5,492.5,480.0,492.5,370.539794921875,450900000,BBCA.JK,354.82812,361.1352233886719,0.0,9.404571533203125
2006-09-26,480.0,492.5,477.5,480.0,361.1352233886719,180600000,BBCA.JK,350.06323,363.01605224609375,0.0,-1.880828857421875
2006-09-28,482.5,485.0,480.0,482.5,363.01605224609375,25630000,BBCA.JK,357.10617,363.01605224609375,0.0,0.0
